// DXCC prefix data. Incomplete,but a starting point.
// Derived from https://github.com/k0swe/dxcc-json
// Thanks,K0SWE. Then big-cty.dat from AD1C used to
// augment the prefixes
//
509,^FO,Marquesas Islands
510,^E4,Palestine
511,^4W,Timor - Leste
512,^(FK|TX),Chesterfield Islands
513,^VP6D,Ducie Island
514,^4O,Montenegro
515,^[AKNW]H8S,Swains Island
516,^(FJ|TO),Saint Barthelemy
517,^PJ2,Curacao
518,^PJ[078],Sint Maarten
519,^PJ[56],Saba & Saint Eustatius
520,^PJ4,Bonaire
521,^Z8,Republic of South Sudan
522,^Z6,Republic of Kosovo
0,,
